id,week,team,points,talent,outcome,spread,home,win,cover,totalYards,rushingYards,netPassingYards,yardsPerPass,yardsPerRushAttempt,firstDowns,turnovers,defensiveTDs,sacks,kickReturnYards,kickReturnTDs,points_MA,totalYards_MA,rushYards_MA,passYards_MA,firstDowns_MA,turnovers_MA,defensiveTDs_MA,sacks_MA,kickReturnYards_MA,kickReturnTDs_MA
401119280,7,Bowling Green,20,315.44,-13,27.0,1,1,1,425,240,185,8.8,5.9,17,1,0,5,46,0,6.75,254.5,113.0,141.5,13.5,1.25,0.0,3.75,75.5,0.0
401119315,14,Central Michigan,49,416.63,-42,-14.5,1,1,1,552,289,263,12.0,6.1,30,0,0,1,18,0,36.25,471.25,206.0,265.25,24.5,2.75,0.0,1.0,97.0,0.0
401110724,1,Kentucky,38,672.74,-14,-10.0,1,1,1,422,176,246,9.5,4.5,20,2,0,4,62,0,,,,,,,,,,
401119285,8,Ball State,52,327.92,-38,-3.0,1,1,1,580,374,206,12.1,7.5,24,1,0,8,35,0,27.5,401.75,170.5,231.25,23.5,2.0,0.25,1.25,68.5,0.0
401117507,4,Colorado State,35,518.83,6,6.5,1,0,1,694,289,405,7.5,8.0,36,1,0,0,55,0,34.333333333333336,504.0,180.0,324.0,23.333333333333332,2.6666666666666665,0.0,2.6666666666666665,42.666666666666664,0.0
401119312,14,Buffalo,49,284.74,-42,-28.0,1,1,1,586,455,131,8.7,8.9,23,0,0,0,16,0,40.5,429.5,256.25,173.25,23.25,0.5,0.5,4.5,20.0,0.0
401119288,9,Western Michigan,49,452.05,-39,-27.0,1,1,1,574,399,175,7.3,7.0,30,0,0,6,81,0,30.0,380.25,161.25,219.0,20.25,1.0,0.25,7.25,50.25,0.0
401112107,2,Kansas State,52,543.49,-52,-25.0,1,1,1,521,333,188,9.9,5.7,25,1,0,1,44,0,49.0,573.0,361.0,212.0,33.0,0.0,2.0,0.0,70.0,0.0
401119266,4,Kent State,62,313.22,-42,-12.0,1,1,1,750,375,375,10.4,7.8,34,0,0,2,32,0,11.5,260.5,106.0,154.5,15.0,1.0,0.0,3.5,75.0,0.0
401119301,12,Miami (OH),44,359.14,-41,-17.0,1,1,1,425,187,238,14.9,5.2,17,2,1,0,27,0,22.5,363.5,148.5,215.0,17.0,1.25,0.0,3.0,45.75,0.0
401114337,6,Notre Dame,52,843.29,-52,-45.5,1,1,1,573,233,340,12.6,6.9,27,0,0,2,0,0,38.25,414.25,147.5,266.75,19.0,1.0,0.5,4.0,26.25,0.0
401119254,1,Bowling Green,46,315.44,-43,-24.0,1,1,1,620,326,294,7.7,5.2,37,1,0,8,60,0,,,,,,,,,,
401114327,4,Army,52,265.19,-31,-45.5,1,1,0,483,403,80,11.4,5.8,30,2,0,0,47,0,22.0,295.0,257.0,38.0,18.0,2.0,0.0,3.0,4.666666666666667,0.0
401114258,3,Bowling Green,7,315.44,28,13.0,1,0,0,290,119,171,4.5,2.5,15,1,0,10,142,0,23.0,380.0,193.5,186.5,21.0,1.0,0.0,6.0,62.0,0.0
401114315,13,UAB,20,441.81,-6,-6.5,1,1,0,353,166,187,8.1,3.8,17,1,0,2,53,0,21.0,323.5,165.25,158.25,15.0,2.0,0.0,4.5,23.25,0.0
401114309,12,Marshall,31,489.63,-21,-6.5,1,1,1,405,192,213,8.2,4.3,22,1,0,1,17,0,28.25,424.0,195.75,228.25,21.25,0.25,0.0,8.5,22.0,0.0
401112135,1,Texas,45,877.91,-31,-19.0,1,1,1,454,153,301,7.0,5.1,24,1,0,1,53,0,,,,,,,,,,
401114296,9,UTEP,21,355.31,21,18.5,1,0,0,325,98,227,7.6,2.9,20,3,0,2,111,0,16.75,283.75,129.75,154.0,17.0,1.0,0.0,0.5,41.5,0.0
401114268,5,Rice,20,397.04,3,9.0,1,0,1,338,190,148,5.7,4.0,19,1,0,6,36,0,13.5,268.0,99.75,168.25,15.0,0.5,0.0,1.25,35.0,0.0
401119293,10,Bowling Green,35,315.44,-29,-4.0,1,1,1,276,156,120,5.7,2.5,17,1,0,6,5,0,12.5,315.75,166.5,149.25,16.0,1.75,0.5,1.25,55.5,0.0
401119263,3,Central Michigan,45,416.63,-21,-2.5,1,1,1,533,189,344,10.8,5.6,21,1,0,8,19,0,19.0,293.5,129.5,164.0,17.0,2.0,0.0,0.5,39.0,0.0
401112145,1,Illinois,42,661.73,-39,-18.0,1,1,1,401,207,194,7.8,4.5,22,0,0,12,10,0,,,,,,,,,,
401119287,9,Northern Illinois,49,397.98,-49,-22.0,1,1,1,345,274,71,7.9,4.4,21,1,1,4,0,0,25.25,409.0,134.75,274.25,20.5,1.0,0.25,3.0,10.5,0.0
401119307,13,Miami (OH),20,359.14,-3,-28.0,1,1,0,355,238,117,5.3,4.6,19,2,0,12,66,0,29.5,378.5,169.0,209.5,16.5,1.0,0.25,2.5,49.5,0.0
401114356,5,UMass,37,358.88,-8,9.5,1,1,1,433,220,213,6.5,5.2,24,1,2,2,26,0,21.5,304.0,137.5,166.5,17.25,1.5,0.5,1.25,135.75,0.0
401117855,1,Connecticut,24,412.55,-3,-23.0,1,1,0,392,234,158,7.5,3.9,26,2,0,4,14,0,,,,,,,,,,
401114263,4,Florida Atlantic,42,524.02,-35,-37.5,1,1,0,507,120,387,10.2,3.9,27,0,0,1,36,0,25.333333333333332,346.6666666666667,97.0,249.66666666666666,21.666666666666668,1.3333333333333333,0.0,4.333333333333333,29.0,0.0
401112146,2,Connecticut,23,412.55,8,21.0,1,0,1,285,10,275,8.9,0.3,16,3,1,4,28,0,24.0,392.0,234.0,158.0,26.0,2.0,0.0,4.0,14.0,0.0
401112149,6,Minnesota,40,621.36,-23,-14.0,1,1,1,487,332,155,9.1,6.4,24,2,0,3,22,0,34.75,389.5,115.75,273.75,21.0,1.5,0.5,2.5,21.5,0.0
401112154,11,Michigan State,34,688.74,3,-16.0,1,0,0,526,275,251,7.0,5.4,27,4,0,3,31,0,14.25,285.25,80.5,204.75,16.5,2.25,0.0,3.25,28.75,0.0
401112155,13,Iowa,19,637.65,-9,-15.5,1,1,0,387,79,308,8.8,2.5,16,1,0,3,16,0,22.75,312.25,107.25,205.0,16.0,0.5,0.0,4.5,23.25,0.0
401112152,9,Purdue,6,607.4,18,-9.5,1,0,0,271,135,136,4.1,3.1,17,2,0,2,38,0,24.5,356.25,66.0,290.25,19.25,1.5,0.25,2.75,47.25,0.0
401117876,6,Connecticut,22,412.55,26,11.0,1,0,0,293,84,209,7.2,2.3,18,1,0,8,171,0,17.75,312.0,110.0,202.0,18.5,2.5,0.25,3.25,31.5,0.0
